onset	duration	trial_type	stim_id	choice
0.058	2.351	taste_choice	34.jpg	Neutraal
2.409	0.532	taste_feedback	34.jpg	Neutraal
11.666	1.174	taste_choice	65.jpg	Lekker
12.84	0.526	taste_feedback	65.jpg	Lekker
23.266	0.97	taste_choice	24.jpg	Lekker
24.236	0.529	taste_feedback	24.jpg	Lekker
33.874	1.138	taste_choice	29.jpg	Heel erg lekker
35.012	0.528	taste_feedback	29.jpg	Heel erg lekker
42.473	1.488	taste_choice	48.jpg	Lekker
43.961	0.529	taste_feedback	48.jpg	Lekker
60.081	1.252	taste_choice	81.jpg	Heel erg lekker
61.333	0.531	taste_feedback	81.jpg	Heel erg lekker
73.697	1.052	taste_choice	337.jpg	Lekker
74.749	0.532	taste_feedback	337.jpg	Lekker
89.305	1.199	taste_choice	255.jpg	Lekker
90.504	0.526	taste_feedback	255.jpg	Lekker
97.905	0.855	taste_choice	69.jpg	Lekker
98.76	0.528	taste_feedback	69.jpg	Lekker
115.504	1.583	taste_choice	410.jpg	Neutraal
117.087	0.526	taste_feedback	410.jpg	Neutraal
132.104	1.231	taste_choice	64.jpg	Heel erg lekker
133.335	0.527	taste_feedback	64.jpg	Heel erg lekker
149.712	0.947	taste_choice	404.jpg	Lekker
150.659	0.528	taste_feedback	404.jpg	Lekker
164.311	1.308	taste_choice	101.jpg	Lekker
165.619	0.526	taste_feedback	101.jpg	Lekker
176.911	1.066	taste_choice	74.jpg	Lekker
177.977	0.534	taste_feedback	74.jpg	Lekker
187.519	0.963	taste_choice	40.jpg	Lekker
188.482	0.529	taste_feedback	40.jpg	Lekker
200.119	1.242	taste_choice	118.jpg	Lekker
201.361	0.524	taste_feedback	118.jpg	Lekker
211.718	1.063	taste_choice	153.jpg	Heel erg lekker
212.781	0.529	taste_feedback	153.jpg	Heel erg lekker
228.318	1.669	taste_choice	32.jpg	Lekker
229.987	0.531	taste_feedback	32.jpg	Lekker
237.926	1.622	taste_choice	2.jpg	Neutraal
239.548	0.528	taste_feedback	2.jpg	Neutraal
250.525	1.08	taste_choice	402.jpg	Heel erg lekker
251.605	0.529	taste_feedback	402.jpg	Heel erg lekker
267.125	1.159	taste_choice	401.jpg	Lekker
268.284	0.524	taste_feedback	401.jpg	Lekker
280.725	0.965	taste_choice	259.jpg	Heel erg lekker
281.69	0.526	taste_feedback	259.jpg	Heel erg lekker
290.324	1.386	taste_choice	414.jpg	Niet lekker
291.71	0.531	taste_feedback	414.jpg	Niet lekker
305.932	1.645	taste_choice	119.jpg	Neutraal
307.577	0.53	taste_feedback	119.jpg	Neutraal
322.54	1.228	taste_choice	213.jpg	Heel erg lekker
323.768	0.53	taste_feedback	213.jpg	Heel erg lekker
335.148	1.533	taste_choice	35.jpg	Neutraal
336.681	0.525	taste_feedback	35.jpg	Neutraal
343.748	1.546	taste_choice	82.jpg	Lekker
345.294	0.529	taste_feedback	82.jpg	Lekker
357.356	1.644	taste_choice	336.jpg	Neutraal
359	0.531	taste_feedback	336.jpg	Neutraal
365.964	1.509	taste_choice	353.jpg	Niet lekker
367.473	0.532	taste_feedback	353.jpg	Niet lekker
376.572	1.541	taste_choice	235.jpg	Neutraal
378.113	0.525	taste_feedback	235.jpg	Neutraal
387.171	1.721	taste_choice	139.jpg	Lekker
388.892	0.529	taste_feedback	139.jpg	Lekker
402.779	1.269	taste_choice	104.jpg	Heel erg lekker
404.048	0.531	taste_feedback	104.jpg	Heel erg lekker
420.387	1.219	taste_choice	89.jpg	Lekker
421.606	0.531	taste_feedback	89.jpg	Lekker
428.995	1.157	taste_choice	90.jpg	Heel erg lekker
430.152	0.526	taste_feedback	90.jpg	Heel erg lekker
442.595	2.095	taste_choice	154.jpg	Lekker
444.69	0.53	taste_feedback	154.jpg	Lekker
459.194	1.15	taste_choice	91.jpg	Heel erg lekker
460.344	0.525	taste_feedback	91.jpg	Heel erg lekker
474.794	1.985	taste_choice	53.jpg	Neutraal
476.779	0.531	taste_feedback	53.jpg	Neutraal
487.402	1.548	taste_choice	171.jpg	Heel erg lekker
488.95	0.527	taste_feedback	171.jpg	Heel erg lekker
506.001	1.7	taste_choice	142.jpg	Lekker
507.701	0.533	taste_feedback	142.jpg	Lekker
520.609	1.777	taste_choice	326.jpg	Lekker
522.386	0.531	taste_feedback	326.jpg	Lekker
539.217	1.776	taste_choice	413.jpg	Niet lekker
540.993	0.524	taste_feedback	413.jpg	Niet lekker
550.817	2.022	taste_choice	412.jpg	Neutraal
552.839	0.527	taste_feedback	412.jpg	Neutraal
560.416	2.189	taste_choice	411.jpg	Lekker
562.605	0.528	taste_feedback	411.jpg	Lekker
571.016	0.952	taste_choice	144.jpg	Heel erg lekker
571.968	0.531	taste_feedback	144.jpg	Heel erg lekker
585.624	0.915	taste_choice	400.jpg	Heel erg lekker
586.539	0.526	taste_feedback	400.jpg	Heel erg lekker
604.232	1.52	taste_choice	403.jpg	Helemaal niet lekker
605.752	0.53	taste_feedback	403.jpg	Helemaal niet lekker
613.84	1.09	taste_choice	116.jpg	Heel erg lekker
614.93	0.526	taste_feedback	116.jpg	Heel erg lekker
628.439	1.232	taste_choice	45.jpg	Lekker
629.671	0.527	taste_feedback	45.jpg	Lekker
647.047	1.631	taste_choice	72.jpg	Neutraal
648.678	0.527	taste_feedback	72.jpg	Neutraal
661.647	1.273	taste_choice	8.jpg	Heel erg lekker
662.92	0.527	taste_feedback	8.jpg	Heel erg lekker
