onset	duration	trial_type	stim_id	choice
15.725	1.375	health_choice	401.jpg	Heel erg ongezond
17.1	0.525	health_feedback	401.jpg	Heel erg ongezond
34.366	1.981	health_choice	34.jpg	Ongezond
36.347	0.535	health_feedback	34.jpg	Ongezond
48.999	1.162	health_choice	139.jpg	Heel erg ongezond
50.161	0.529	health_feedback	139.jpg	Heel erg ongezond
58.624	1.004	health_choice	118.jpg	Heel erg ongezond
59.628	0.529	health_feedback	118.jpg	Heel erg ongezond
77.248	1.18	health_choice	90.jpg	Heel erg gezond
78.428	0.528	health_feedback	90.jpg	Heel erg gezond
95.889	1.601	health_choice	81.jpg	Heel erg gezond
97.49	0.524	health_feedback	81.jpg	Heel erg gezond
108.514	1.559	health_choice	91.jpg	Heel erg gezond
110.073	0.524	health_feedback	91.jpg	Heel erg gezond
122.114	2.445	health_choice	336.jpg	Gezond
124.559	0.529	health_feedback	336.jpg	Gezond
133.713	1.788	health_choice	213.jpg	Gezond
135.501	0.529	health_feedback	213.jpg	Gezond
150.338	1.043	health_choice	29.jpg	Heel erg ongezond
151.381	0.523	health_feedback	29.jpg	Heel erg ongezond
166.946	0.755	health_choice	35.jpg	Heel erg ongezond
167.701	0.528	health_feedback	35.jpg	Heel erg ongezond
176.57	2.119	health_choice	410.jpg	Ongezond
178.689	0.531	health_feedback	410.jpg	Ongezond
185.195	2.672	health_choice	414.jpg	Ongezond
187.867	0.528	health_feedback	414.jpg	Ongezond
195.812	2.065	health_choice	64.jpg	Gezond
197.877	0.534	health_feedback	64.jpg	Gezond
204.436	1.629	health_choice	45.jpg	Heel erg ongezond
206.065	0.53	health_feedback	45.jpg	Heel erg ongezond
215.069	0.743	health_choice	400.jpg	Heel erg ongezond
215.812	0.524	health_feedback	400.jpg	Heel erg ongezond
232.686	2.327	health_choice	69.jpg	Neutraal
235.013	0.531	health_feedback	69.jpg	Neutraal
249.318	3.847	health_choice	337.jpg	Gezond
253.165	0.528	health_feedback	337.jpg	Gezond
263.935	0.758	health_choice	403.jpg	Heel erg ongezond
264.693	0.525	health_feedback	403.jpg	Heel erg ongezond
279.559	1.023	health_choice	235.jpg	Heel erg ongezond
280.582	0.527	health_feedback	235.jpg	Heel erg ongezond
291.176	1.375	health_choice	255.jpg	Heel erg ongezond
292.551	0.525	health_feedback	255.jpg	Heel erg ongezond
302.8	1.298	health_choice	116.jpg	Heel erg ongezond
304.098	0.527	health_feedback	116.jpg	Heel erg ongezond
316.408	1.588	health_choice	413.jpg	Ongezond
317.996	0.529	health_feedback	413.jpg	Ongezond
332.025	1.379	health_choice	119.jpg	Heel erg ongezond
333.404	0.529	health_feedback	119.jpg	Heel erg ongezond
340.649	1.513	health_choice	101.jpg	Heel erg ongezond
342.162	0.529	health_feedback	101.jpg	Heel erg ongezond
354.274	2.318	health_choice	72.jpg	Gezond
356.592	0.532	health_feedback	72.jpg	Gezond
371.907	1.294	health_choice	144.jpg	Heel erg gezond
373.201	0.531	health_feedback	144.jpg	Heel erg gezond
388.531	3.167	health_choice	8.jpg	Neutraal
391.698	0.533	health_feedback	8.jpg	Neutraal
401.156	1.46	health_choice	171.jpg	Heel erg gezond
402.616	0.523	health_feedback	171.jpg	Heel erg gezond
409.781	0.95	health_choice	65.jpg	Heel erg gezond
410.731	0.525	health_feedback	65.jpg	Heel erg gezond
424.405	0.785	health_choice	104.jpg	Heel erg ongezond
425.19	0.524	health_feedback	104.jpg	Heel erg ongezond
437.022	1.486	health_choice	154.jpg	Heel erg ongezond
438.508	0.53	health_feedback	154.jpg	Heel erg ongezond
446.647	1.283	health_choice	353.jpg	Heel erg ongezond
447.93	0.525	health_feedback	353.jpg	Heel erg ongezond
457.263	1.174	health_choice	153.jpg	Heel erg gezond
458.437	0.526	health_feedback	153.jpg	Heel erg gezond
467.888	2.791	health_choice	411.jpg	Ongezond
470.679	0.534	health_feedback	411.jpg	Ongezond
478.512	2.961	health_choice	32.jpg	Heel erg ongezond
481.473	0.531	health_feedback	32.jpg	Heel erg ongezond
493.137	2.46	health_choice	89.jpg	Heel erg gezond
495.597	0.532	health_feedback	89.jpg	Heel erg gezond
511.77	1.069	health_choice	53.jpg	Heel erg gezond
512.839	0.531	health_feedback	53.jpg	Heel erg gezond
523.386	0.976	health_choice	259.jpg	Heel erg gezond
524.362	0.524	health_feedback	259.jpg	Heel erg gezond
532.994	2.469	health_choice	82.jpg	Neutraal
535.463	0.531	health_feedback	82.jpg	Neutraal
550.627	1.216	health_choice	24.jpg	Heel erg ongezond
551.843	0.526	health_feedback	24.jpg	Heel erg ongezond
563.252	1.285	health_choice	142.jpg	Heel erg gezond
564.537	0.531	health_feedback	142.jpg	Heel erg gezond
571.868	1.171	health_choice	40.jpg	Heel erg ongezond
573.039	0.529	health_feedback	40.jpg	Heel erg ongezond
585.484	0.875	health_choice	402.jpg	Heel erg ongezond
586.359	0.525	health_feedback	402.jpg	Heel erg ongezond
602.092	0.804	health_choice	404.jpg	Heel erg ongezond
602.896	0.53	health_feedback	404.jpg	Heel erg ongezond
617.709	1.336	health_choice	326.jpg	Heel erg gezond
619.045	0.53	health_feedback	326.jpg	Heel erg gezond
632.342	0.771	health_choice	48.jpg	Heel erg ongezond
633.113	0.529	health_feedback	48.jpg	Heel erg ongezond
644.95	1.167	health_choice	2.jpg	Heel erg ongezond
646.117	0.524	health_feedback	2.jpg	Heel erg ongezond
663.549	1.325	health_choice	74.jpg	Heel erg gezond
664.874	0.525	health_feedback	74.jpg	Heel erg gezond
